trade_id,datetime_utc,symbol,bitget_symbol,company,direction,entry_price,exit_price,quantity,collateral_usd,trade_volume_usd,fee_usd,gross_pnl_usd,net_pnl_usd,net_return_pct,balance_before,balance_after,z_score,hit_stop_loss,status
PT-rMSTR-0074,2026-08-21 16:00:00,rMSTR,MSTRUSDT,MicroStrategy Inc.,SHORT,120.2,119.49,20.7987,2500.0,2500.0,3.0,14.77,11.77,0.47,49604.31,49616.08,3.09,False,WIN
PT-rTSLA-0043,2026-08-22 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,SHORT,363.25,356.27,6.8823,2500.0,2500.0,3.0,48.04,45.04,1.8,49616.08,49661.12,2.3,False,WIN
PT-rCOIN-0055,2026-08-22 16:00:00,rCOIN,COINUSDT,Coinbase Global Inc.,SHORT,185.56,184.18,13.4727,2500.0,2499.99,3.0,18.59,15.59,0.62,49661.12,49676.71,2.5,False,WIN
PT-rMSTR-0075,2026-08-22 16:00:00,rMSTR,MSTRUSDT,MicroStrategy Inc.,SHORT,119.49,125.17,20.9223,2500.0,2500.01,3.0,-87.5,-90.5,-3.62,49676.71,49586.21,2.36,True,LOSS
PT-rNVDA-0014,2026-08-23 16:00:00,rNVDA,NVDAUSDT,NVIDIA Corporation,LONG,210.45,211.8,11.8793,2500.0,2500.0,3.0,16.04,13.04,0.52,49586.21,49599.25,-2.46,False,WIN
PT-rCOIN-0056,2026-08-23 16:00:00,rCOIN,COINUSDT,Coinbase Global Inc.,SHORT,184.18,186.71,13.5737,2500.0,2500.0,3.0,-34.34,-37.34,-1.49,49599.25,49561.91,1.98,False,LOSS
PT-rMSTR-0076,2026-08-23 16:00:00,rMSTR,MSTRUSDT,MicroStrategy Inc.,SHORT,125.17,127.59,19.9728,2500.0,2500.0,3.0,-48.33,-51.33,-2.05,49561.91,49510.58,2.63,False,LOSS
PT-rQQQ-0130,2026-08-23 16:00:00,rQQQ,QQQUSDT,Invesco QQQ Trust,LONG,708.57,711.07,3.5282,2500.0,2499.98,3.0,8.82,5.82,0.23,49510.58,49516.4,-2.08,False,WIN
PT-rSPY-0146,2026-08-23 16:00:00,rSPY,SPYUSDT,SPDR S&P 500 ETF,LONG,764.72,765.9,3.2692,2500.0,2500.02,3.0,3.86,0.86,0.03,49516.4,49517.26,-1.97,False,WIN
PT-rNVDA-0015,2026-08-24 16:00:00,rNVDA,NVDAUSDT,NVIDIA Corporation,LONG,211.8,210.84,11.8036,2500.0,2500.0,3.0,-11.33,-14.33,-0.57,49517.26,49502.93,-2.12,False,LOSS
